,positionerID,robotailID,wokID,holeID,apSpecID,bossSpecID,alphaArmLen,metX,metY,apX,apY,bossX,bossY,alphaOffset,betaOffset,dx,dy
0,946,FTO220,flatNominal,R-2C12,220,220,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
1,306,FTO221,flatNominal,R-2C13,221,221,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
2,1366,FTO222,flatNominal,R-2C14,222,222,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
3,85,FTO245,flatNominal,R-1C12,245,245,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
4,1090,FTO246,flatNominal,R-1C13,246,246,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
5,6,FTO247,flatNominal,R-1C14,247,247,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
6,1343,FTO248,flatNominal,R-1C15,248,248,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
7,1055,FTO271,flatNominal,R0C12,271,271,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
8,1369,FTO272,flatNominal,R0C13,272,272,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,10,0,0
9,1269,FTO273,flatNominal,R0C14,273,273,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
10,1304,FTO274,flatNominal,R0C15,274,274,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
11,4,FTO275,flatNominal,R0C16,275,275,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
12,1394,FTO507,flatNominal,R+2C12,507,507,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
13,168,FTO508,flatNominal,R+2C13,508,508,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
14,1320,FTO509,flatNominal,R+2C14,509,509,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
15,811,FTO532,flatNominal,R+1C12,532,532,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
16,1360,FTO533,flatNominal,R+1C13,533,533,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
17,1029,FTO534,flatNominal,R+1C14,534,534,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
18,1307,FTO535,flatNominal,R+1C15,535,535,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
