,index,wokID,holeID,holeType,hexRow,hexCol,xWok,yWok,zWok,ix,iy,iz,jx,jy,jz,kx,ky,kz
0,1,curvNomAPO,R-13C1,ApogeeBoss,-13.0,1.0,-147.873835485164,-256.12430864698,4.6818818669262,6.64744673199806e-06,-0.9996226137408866,0.0274705306401171,0.9998742510601972,-0.0004289886467896,-0.0158523826458477,0.0158581847202289,0.0274671816278825,0.9994969094053268
1,3,curvNomAPO,R-13C2,ApogeeBoss,-13.0,2.0,-125.12127173181,-256.1187643553,4.3494642428372,4.466208196697396e-06,-0.9996254154004868,0.0273683917221485,0.9999106304751036,-0.0003614247954356,-0.0133641473726507,0.0133690329842389,0.0273660055090476,0.99953607773784
2,5,curvNomAPO,R-13C3,ApogeeBoss,-13.0,3.0,-102.37761243283398,-256.13275573194,4.0728272828788,9.321809513799871e-06,-0.9996241895416966,0.0274131281726495,0.9999399754306066,-0.0002910348883157,-0.0109526633533486,0.0109565254046102,0.0274115848100766,0.9995641848171924
3,7,curvNomAPO,R-13C4,ApogeeBoss,-13.0,4.0,-79.63104112037799,-256.14572894196,3.8513326026026,7.140218952866508e-06,-0.9996228791657092,0.0274608702971192,0.9999635610971084,-0.0002272898434254,-0.0085337457963145,0.0085367691198903,0.0274599305859466,0.999586452381788
4,9,curvNomAPO,R-13C5,ApogeeBoss,-13.0,5.0,-56.879598028994,-256.14712890868,3.6849802231922,4.95890256395934e-06,-0.9996234837922432,0.0274388524991156,0.9999814380869292,-0.0001622253008383,-0.0060907441703672,0.0060929021825711,0.0274383733849277,0.999604928063574
5,11,curvNomAPO,R-13C6,ApogeeBoss,-13.0,6.0,-34.12764298537,-256.14582104236,3.5740757810442,9.814300554085656e-06,-0.999624303154672,0.0274089847717097,0.9999933320632468,-9.028191848050947e-05,-0.0036507092763529,0.0036518122521233,0.0274088378394909,0.9996176368369876
6,13,curvNomAPO,R-13C7,ApogeeBoss,-13.0,7.0,-11.3758629049724,-256.1453929279,3.5186498704332,7.633361260761787e-06,-0.9996246745437024,0.0273954373049316,0.999999259821595,-2.570085237098455e-05,-0.0012164274447101,0.0012166749746141,0.0273954263128507,0.9996239344469215
7,15,curvNomAPO,R-13C8,ApogeeBoss,-13.0,8.0,11.3758580305346,-256.14540844476,3.518657729879,5.452444435359181e-06,-0.999624674072512,0.0273954550189418,0.9999992598355828,3.878176484135961e-05,0.0012160691843523,-0.0012166752061521,0.0273954281112512,0.9996239343973532
8,17,curvNomAPO,R-13C9,ApogeeBoss,-13.0,9.0,34.12763802475,-256.14586751166,3.574102796408,3.271503560237908e-06,-0.9996243017391356,0.0274090379590857,0.9999933321050322,0.0001033629209778,0.0036503508846744,-0.0036518125324201,0.0274088432563635,0.9996176366874366
9,19,curvNomAPO,R-13C10,ApogeeBoss,-13.0,10.0,56.879592858316,-256.14710460595995,3.6850281023446,8.127462080636933e-06,-0.9996234816544518,0.0274389296251943,0.9999814380650172,0.0001753069706606,0.0060903852822831,-0.0060929023761236,0.0274383708061911,0.9996049281331786
10,21,curvNomAPO,R-13C11,ApogeeBoss,-13.0,11.0,79.631036034536,-256.14573677024,3.8513561544986006,5.946801116037435e-06,-0.9996228760817908,0.0274609828411961,0.9999635611029722,0.0002403724184101,0.0085333866291634,-0.0085367693478196,0.0274599314469169,0.9995864523561896
11,23,curvNomAPO,R-13C12,ApogeeBoss,-13.0,12.0,102.377608414554,-256.13279784768,4.0727449883774005,3.76849245521543e-06,-0.999624185538655,0.0274132754697263,0.9999399754661,0.0003041211013381,0.0109523045616567,-0.0109565254827446,0.0274115887269665,0.9995641847089208
12,25,curvNomAPO,R-13C13,ApogeeBoss,-13.0,13.0,125.121268049572,-256.11873667184,4.3493714764492,8.62217189379782e-06,-0.9996254106737308,0.0273685633717447,0.9999106304454458,0.0003745094033563,0.0133637893165659,-0.0133690331680684,0.0273660022305387,0.9995360778251424
13,27,curvNomAPO,R-13C14,ApogeeBoss,-13.0,14.0,147.873240072588,-256.12465240804,4.6818818669262,5.367962886640122e-05,-0.9996225860371576,0.0274714870890433,0.9998742496413624,0.0004893005399467,0.0158507251917495,-0.0158581847202068,0.0274671816786439,0.9994969094039322
14,29,curvNomAPO,R-12C1,ApogeeBoss,-12.0,1.0,-159.24469831845,-236.417565020668,4.3493714764492,-4.0700675688287446e-05,-0.9996807812029428,0.0252652733396829,0.9998552312571708,-0.0004705738690774,-0.0170086768416406,0.0170151365297084,0.0252609234531843,0.999536077825692
15,31,curvNomAPO,R-12C2,ApogeeBoss,-12.0,2.0,-136.50667938894,-236.435816750738,3.9898243177446,6.644185031137557e-06,-0.9996791387160092,0.0253302106559074,0.9998930797127904,-0.0003637597025362,-0.0146183727326276,0.0146228963726761,0.0253275994696823,0.9995722503184936
16,33,curvNomAPO,R-12C3,Boss,-12.0,3.0,-113.75920740239,-236.443456044324,3.6849694291066006,4.465208011102103e-06,-0.999679155314402,0.0253295560550477,0.9999257503004876,-0.0003041976103484,-0.0121820092686172,0.0121858059261066,0.0253277297383272,0.9996049280792054
17,35,curvNomAPO,R-12C4,Boss,-12.0,4.0,-91.007052766582,-236.442461919566,3.4355411753351994,9.320013703594107e-06,-0.9996804296294636,0.0252792113996615,0.9999526667479912,-0.0002366388005367,-0.0097266780382195,0.0097295517223789,0.0252781055051503,0.9996331092982824
18,37,curvNomAPO,R-12C5,Boss,-12.0,5.0,-68.257471039522,-236.450096730814,3.2418749847156,7.138415317050034e-06,-0.9996799534347612,0.0252980364794754,0.9999733346484734,-0.000177608920495,-0.007300578544449,0.0073027351763114,0.0252974140130014,0.9996532953495424
19,39,curvNomAPO,R-12C6,Boss,-12.0,6.0,-45.506407771356,-236.4576523187,3.1035725114354005,4.957528013748047e-06,-0.9996792473849716,0.0253259219622874,0.9999881223680298,-0.0001184806440684,-0.0048724824472671,0.0048739202173262,0.0253256453057752,0.9996673729754116
20,41,curvNomAPO,R-12C7,Boss,-12.0,7.0,-22.7535784979082,-236.460969772822,3.0205296506228,9.814267631579504e-06,-0.9996790294017008,0.0253345234443732,0.9999970284759212,-5.194979825858535e-05,-0.0024372813842179,0.0024378152119357,0.0253344720823585,0.9996760583215448
21,43,curvNomAPO,R-12C8,Fiducial,-12.0,8.0,-1.6064100054082597e-05,-236.461751975728,2.9928316327144,7.633380103910366e-06,-0.9996790175029626,0.0253349937052107,0.999999999970866,7.630895850892985e-06,-1.947360578513032e-07,1.3448526376986383e-09,0.025334993705959,0.9996790175320872
22,45,curvNomAPO,R-12C9,Boss,-12.0,9.0,22.7535463959658,-236.46100150682,3.0205180197849995,5.452749649764366e-06,-0.9996790284075076,0.0253345639885367,0.9999970285157792,6.721190053866522e-05,0.002436891908179,-0.0024378125192975,0.0253344754195181,0.9996760582435384
23,47,curvNomAPO,R-12C10,Boss,-12.0,10.0,45.50646370622,-236.457664944024,3.1035510911074,3.27298560204419e-06,-0.9996792463457778,0.0253259632556265,0.9999881223422384,0.000126708791292,0.0048722807109897,-0.0048739269313397,0.0253256464955979,0.9996673729125344
24,49,curvNomAPO,R-12C11,Boss,-12.0,11.0,68.2574389611,-236.450089705428,3.2418666168126,8.128671529209128e-06,-0.9996799506243722,0.0252981472360616,0.9999733346603784,0.0001928714555708,0.0073001896416832,-0.007302732511027,0.02529741331153,0.9996532953867644
25,51,curvNomAPO,R-12C12,Boss,-12.0,12.0,91.00702022816598,-236.442485117132,3.435580639239,5.948455059504784e-06,-0.999680425833819,0.0252793625182731,0.999952666799754,0.0002519030701486,0.0097262893697261,-0.0097295490479404,0.0252781081087497,0.9996331092584748
26,53,curvNomAPO,R-12C13,Boss,-12.0,13.0,113.75926214421598,-236.44345870853,3.6850568455434,3.766904487222922e-06,-0.9996791527579448,0.0253296570637654,0.9999257502201484,0.0003124278743994,0.0121818075627892,-0.0121858127543451,0.0253277304545991,0.9996049279778164
27,55,curvNomAPO,R-12C14,ApogeeBoss,-12.0,14.0,136.506083976364,-236.43616051256,3.9898243177446,5.368326394989894e-05,-0.9996791149495908,0.0253310925881635,0.9998930782938392,0.0004240742427456,0.0146168444305537,-0.014622896367599,0.0253275994646074,0.9995722503186966
28,57,curvNomAPO,R-12C15,ApogeeBoss,-12.0,15.0,159.244720451756,-236.417582051368,4.3494642428372,5.150010377551194e-05,-0.999680776024044,0.0252654585492656,0.999855230708726,0.00048137151343,0.0170084069173607,-0.0170151394980993,0.0252609249520165,0.9995360777372816
29,59,curvNomAPO,R-11C1,ApogeeBoss,-11.0,1.0,-170.62870547165,-216.728008589852,4.0727449883774005,-4.069954895381625e-05,-0.9997308653414662,0.023199035047815,0.999833255593368,-0.0004643163618698,-0.0182550108157421,0.018260869451192,0.0231944237677751,0.9995641847089998
30,61,curvNomAPO,R-11C2,Boss,-11.0,2.0,-147.886410728238,-216.74014028695,3.6850568455434,-4.0701254574742745e-05,-0.9997303635947944,0.0232206470630747,0.999874513919533,-0.0004085362536418,-0.0158363351917943,0.0158415516154599,0.0232170886363787,0.9996049279778813
31,63,curvNomAPO,R-11C3,ApogeeBoss,-11.0,3.0,-125.135914757642,-216.741074688688,3.3525152284588007,6.646044187958707e-06,-0.9997314091112476,0.0231756249596356,0.9999104930443808,-0.000303430136655,-0.0133758674445959,0.0133793069915197,0.023173639476607,0.9996419241797708
32,65,curvNomAPO,R-11C4,ApogeeBoss,-11.0,4.0,-102.389992648358,-216.753980493966,3.0759098771240003,4.4648584993968745e-06,-0.9997303717746384,0.023220330131337,0.9999398483422745,-0.0002502200033606,-0.0109652673099726,0.0109681209554907,0.0232189823483536,0.9996702352183008
33,67,curvNomAPO,R-11C5,ApogeeBoss,-11.0,5.0,-79.63825366831,-216.758129509798,2.8542999699764007,9.319641977066925e-06,-0.999730526524162,0.023213665132116,0.9999636313540556,-0.0001886617272469,-0.0085264515458209,0.0085285334234459,0.0232129003460235,0.9996941659203432
34,69,curvNomAPO,R-11C6,ApogeeBoss,-11.0,6.0,-56.884538986346,-216.758483349324,2.6879524996747994,7.138732041998242e-06,-0.999731088125026,0.0231894671217446,0.9999814828050948,-0.0001339841284641,-0.0060840854019173,0.0060855563396463,0.0231890811505175,0.9997125749531371
35,71,curvNomAPO,R-11C7,ApogeeBoss,-11.0,7.0,-34.13102242997,-216.76054626722,2.5770903468758,4.957917740394141e-06,-0.9997311710745792,0.0231858913408392,0.9999933357690928,-7.969066593191307e-05,-0.0036499406570774,0.0036508071465739,0.023185754920811,0.9997245082401104
36,73,curvNomAPO,R-11C8,ApogeeBoss,-11.0,8.0,-11.3771498388222,-216.76228769249,2.5216791411122,9.814365079916337e-06,-0.9997310927007182,0.0231892688782096,0.999999259254838,-1.8412522012734463e-05,-0.0012170253710611,0.0012171250769791,0.0231892636452022,0.9997303519740413
37,75,curvNomAPO,R-11C9,ApogeeBoss,-11.0,9.0,11.3770904442496,-216.762303352352,2.5216816596492,7.633258595631446e-06,-0.9997310921888624,0.0231892917657626,0.999999259280682,3.585533896363908e-05,0.0012166151742092,-0.0012171194768023,0.023189265302268,0.9997303519424228
38,77,curvNomAPO,R-11C10,ApogeeBoss,-11.0,10.0,34.13105099227,-216.760542550946,2.5770943083614,5.452550343082674e-06,-0.9997311701997827,0.0231859289493164,0.9999933357525848,9.009849180646168e-05,0.0036497030947498,-0.0036508109630255,0.0231857545323595,0.9997245082351824
39,79,curvNomAPO,R-11C11,ApogeeBoss,-11.0,11.0,56.88456758827,-216.758511292372,2.687947757317,3.2722796347565093e-06,-0.9997310866049216,0.0231895335234477,0.9999814828018871,0.0001443926407626,0.0060838478041583,-0.0060855601739736,0.0231890842102101,0.9997125748588244
40,81,curvNomAPO,R-11C12,ApogeeBoss,-11.0,12.0,79.63819449342199,-216.758138627636,2.8542720160826,8.129029850831779e-06,-0.9997305230596216,0.0232138147846163,0.999963631412284,0.0002061062087799,0.0085260408742057,-0.0085285278141539,0.0232129012225163,0.9996941659478448
41,83,curvNomAPO,R-11C13,ApogeeBoss,-11.0,13.0,102.390021710022,-216.753970718014,3.075862560099001,5.947734925757865e-06,-0.9997303691422034,0.0232204431357024,0.9999398482927284,0.0002606304910674,0.010965029323396,-0.010968124768631,0.0232189811693163,0.999670235203849
42,85,curvNomAPO,R-11C14,ApogeeBoss,-11.0,14.0,125.13531934506598,-216.741418450256,3.3525152284588007,5.368129723646731e-05,-0.9997313889848266,0.0231764319252883,0.999910491625498,0.0003637466729583,0.0133744691712566,-0.013379306991519,0.023173639481685,0.9996419241796534
43,87,curvNomAPO,R-11C15,Boss,-11.0,15.0,147.886435791688,-216.74009154689,3.6849694291066006,5.150127450213588e-05,-0.9997303592693264,0.0232208118471726,0.9998745133772514,0.0004193346821878,0.0158360871754512,-0.0158415544130903,0.0232170823672437,0.9996049280791536
44,89,curvNomAPO,R-11C16,ApogeeBoss,-11.0,16.0,170.628666988618,-216.727991011528,4.0728272828788,5.635113371873741e-05,-0.9997308579973682,0.0231993187916307,0.9998332548947586,0.0004799662293455,0.0182546443123659,-0.0182608661104021,0.0231944217488746,0.9995641848168796
45,91,curvNomAPO,R-10C1,ApogeeBoss,-10.0,1.0,-182.013197095814,-197.035368520296,3.8513561544986006,-4.069853761788199e-05,-0.9997767814192414,0.0211278413145184,0.999809610003201,-0.0004529411102665,-0.0195073983298077,0.0195126135839407,0.0211230248622934,0.999586452355068
46,93,curvNomAPO,R-10C2,Boss,-10.0,2.0,-159.26168853135798,-197.035633999064,3.435580639239,-4.070056519101151e-05,-0.9997780265732716,0.0210688377638254,0.999855034250144,-0.0003994186075087,-0.0170220724184614,0.0170267092565581,0.0210650906959922,0.9996331092585232
47,95,curvNomAPO,R-10C3,ApogeeBoss,-10.0,3.0,-136.51943415794398,-197.049345253836,3.075862560099001,-4.070206405662466e-05,-0.9997771367985,0.0211110179369731,0.9998930603503482,-0.0003494196549041,-0.0146200468234416,0.0146241651576026,0.0211081652660288,0.9996702352038622
48,97,curvNomAPO,R-10C4,Fiducial,-10.0,4.0,-113.768922451794,-197.052866485554,2.7711308694620005,6.643334035880456e-06,-0.999777524572582,0.0210926839303672,0.9999258574364992,-0.0002502044709842,-0.0121744415726042,0.0121770105423362,0.0210912009435916,0.9997033968417876
49,99,curvNomAPO,R-10C5,Boss,-10.0,5.0,-91.016828575326,-197.05659992716,2.5216756702276,4.46251022613471e-06,-0.9997777476403412,0.0210821086063969,0.9999525946360543,-0.0002008144178004,-0.0097348936405346,0.0097369636288178,0.0210811526434281,0.9997303519162132
50,101,curvNomAPO,R-10C6,Boss,-10.0,6.0,-68.265116481432,-197.063609207528,2.3277802354132,9.31920905323853e-06,-0.9997773204184308,0.0211023574534937,0.9999732822540264,-0.0001449393147033,-0.0073084725288297,0.007309903642453,0.0211018617552511,0.9997506072712335
51,103,curvNomAPO,R-10C7,Fiducial,-10.0,7.0,-45.51080471862,-197.06683766386,2.1892572768742,7.138076546018617e-06,-0.9997772778999964,0.0211043726256199,0.9999881229554146,-9.572202592329676e-05,-0.0048728621363796,0.0048737969955952,0.0211041567509083,0.9997654028174204
52,105,curvNomAPO,R-10C8,Boss,-10.0,8.0,-22.7554826331398,-197.067741924942,2.106126076969801,4.957222319586421e-06,-0.999777402642589,0.0210984629929403,0.9999970323690864,-4.644465559041476e-05,-0.0024357947191883,0.0024362324285678,0.0210984124552653,0.9997744354420258
53,107,curvNomAPO,R-10C9,Boss,-10.0,9.0,-4.3327281443308e-05,-197.06791839195,2.0784140103214,9.81428418971792e-06,-0.999777456376656,0.021095914881888,0.99999999995184,9.812010234291911e-06,-2.112994524360609e-07,4.259096367468462e-09,0.0210959148829458,0.9997774564248044
54,109,curvNomAPO,R-10C10,Boss,-10.0,10.0,22.7554839498504,-197.067722542456,2.10612750478,7.633656188165304e-06,-0.9997774020230084,0.0210984915539306,0.9999970323500542,5.903278252859757e-05,0.0024355299659757,-0.002436233324596,0.0210984103489949,0.9997744354842912
55,111,curvNomAPO,R-10C11,Fiducial,-10.0,11.0,45.510806003098,-197.066849627768,2.1892637662948005,5.453176846959899e-06,-0.9997772765878384,0.0211044352890098,0.999988122961633,0.0001083106498592,0.0048725973026127,-0.0048737978962164,0.0211041580596873,0.9997654027854028
56,113,curvNomAPO,R-10C12,Boss,-10.0,12.0,68.265117676502,-197.063652430708,2.327794890883,3.273376256819169e-06,-0.999777318417201,0.021102454070457,0.9999732822856722,0.0001575294843115,0.0073082076654242,-0.0073099045208812,0.0211018663386041,0.9997506071680692
