,site,holeID,id,xWok,yWok,zWok,col,row,xyVar
0,APO,R+12C8,F201752,-0.2494304790999238,232.44979915376575,143.1,8.0,12.0,3.179036723259364e-05
1,APO,R+10C4,F201750,-112.21063536739501,193.766686617016,143.1,4.0,10.0,3.970858564034895e-05
2,APO,R+10C7,F201719,-45.086641749707006,193.9246270564739,143.1,7.0,10.0,5.694915832814292e-05
3,APO,R+10C11,F201753,44.36762868132288,194.36949690017335,143.1,11.0,10.0,3.933460132648919e-05
4,APO,R+10C14,F201751,111.87022011660672,194.2030009890884,143.1,14.0,10.0,4.2860297623289606e-05
5,APO,R+8C10,F201717,-0.09680793274309486,154.9958022509348,143.1,10.0,8.0,2.677564282121533e-05
6,APO,R+7C4,F201718,-145.66018773122525,135.6330655985312,143.1,4.0,7.0,2.9228798028870378e-05
7,APO,R+7C17,F201702,145.5522229097744,135.70016308065968,143.1,17.0,7.0,9.57701673946072e-05
8,APO,R+6C20,F201782,201.50977623111734,116.25569269811342,143.1,20.0,6.0,4.112882053024798e-05
9,APO,R+6C14,F201700,66.95442363395432,116.22766124823288,143.1,14.0,6.0,5.207278339244986e-05
10,APO,R+6C8,F201780,-67.36170187397515,116.08395110170358,143.1,8.0,6.0,4.1710012488191015e-05
11,APO,R+6C2,F201784,-201.8110450264461,116.25173446744093,143.1,2.0,6.0,0.0001176277080871
12,APO,R+4C6,F201783,-135.09604291795802,77.12985230779545,143.1,6.0,4.0,2.389504291011692e-05
13,APO,R+4C18,F201711,134.24309025634895,77.59828976001675,143.1,18.0,4.0,2.623764820188052e-05
14,APO,R+3C21,F201707,190.40006736820774,58.46242299404645,143.1,21.0,3.0,0.0001336411911683
15,APO,R+3C4,F201710,-189.91676564561342,57.83014099506659,143.1,4.0,3.0,6.736618621364291e-05
16,APO,R+2C12,F201712,-22.521648583430444,39.03164808383902,143.1,12.0,2.0,6.372428905034944e-05
17,APO,R+2C14,F201705,22.386074143406375,38.82795574975252,143.1,14.0,2.0,4.292386514819321e-05
18,APO,R0C24,F201474,223.83581696728683,-0.08883352208690053,143.1,24.0,0.0,5.755797411319336e-05
19,APO,R0C20,F201468,134.27800437713907,-0.13389886561435502,143.1,20.0,0.0,2.298996349057176e-05
20,APO,R0C16,F201514,44.68130799202146,0.10625838086891538,143.1,16.0,0.0,5.671014974297087e-05
21,APO,R0C12,F201517,-45.20501148673467,-0.4489116259403287,143.1,12.0,0.0,7.893003073227505e-05
22,APO,R0C8,F201513,-134.57293301569578,-0.4263445446015521,143.1,8.0,0.0,1.2896520319218644e-05
23,APO,R0C4,F201515,-224.5175609939694,-0.1682357778661249,143.1,4.0,0.0,4.628477890592541e-05
24,APO,R-2C12,F201081,-22.095727146818863,-39.097761857559654,143.1,12.0,-2.0,5.706183256138629e-05
25,APO,R-2C14,F201520,22.15974629240245,-39.20234962232562,143.1,14.0,-2.0,6.625642689655573e-05
26,APO,R-3C21,F201080,190.54374849296914,-58.611889517198314,143.1,21.0,-3.0,0.0001432940909497
27,APO,R-3C4,F201169,-190.45012353535,-58.40614243420472,143.1,4.0,-3.0,3.894852544343471e-05
28,APO,R-4C6,F201521,-134.76723707976188,-77.87204754966577,143.1,6.0,-4.0,4.594491251390565e-05
29,APO,R-4C18,F201781,134.73372105090579,-77.8582916051747,143.1,18.0,-4.0,4.974638551533592e-05
30,APO,R-6C20,F201479,201.29658779193753,-116.39141995309126,143.1,20.0,-6.0,7.707340983493038e-05
