# column descriptions
# -----------------------
# direction: direction to convert to, "focal" or "field"
# site: APO or LCO
# waveCat: Boss, Apogee, or GFA (corresponding to 0.54, 1.66, or 0.6231 microns)
# R: radius of curvature for best fit sphere (mm)
# b: z position of best fit sphere center (mm) in focal plane coordinates
# c0: 1st order coeff
# c1: 3rd order coeff
# c2: 5th order coeff
# c3: 7th order coeff
# c4: 9th order coeff
direction,site,waveCat,R,b,c0,c1,c2,c3,c4
focal,APO,Boss,9208,8432,1.36580e+00,6.09425e-03,6.54926e-04,2.62176e-05,-2.27106e-05
focal,APO,Apogee,8939,8163,1.40708e+00,6.13779e-03,7.25138e-04,-3.28007e-06,-1.65995e-05
focal,APO,GFA,9164,8388,1.37239e+00,6.09825e-03,6.67511e-04,2.14437e-05,-2.17330e-05
focal,LCO,Boss,9938,8945,1.89824e+00,1.31773e-02,1.04445e-04,5.77341e-05,0.00000e+00
focal,LCO,Apogee,8905,7912,2.11890e+00,1.40826e-02,1.27996e-04,6.99967e-05,0.00000e+00
focal,LCO,GFA,9743,8751,1.93618e+00,1.33536e-02,9.17031e-05,6.58945e-05,0.00000e+00
field,APO,Boss,9208,8432,7.32171e-01,-1.74740e-03,-9.28511e-05,1.80969e-06,6.48944e-07
field,APO,Apogee,8939,8163,7.10691e-01,-1.56306e-03,-8.60362e-05,3.10036e-06,3.16259e-07
field,APO,GFA,9164,8388,7.28655e-01,-1.71534e-03,-9.19802e-05,2.07648e-06,5.84442e-07
field,LCO,Boss,9938,8945,5.26803e-01,-1.01471e-03,3.47109e-06,-2.98113e-07,0.00000e+00
field,LCO,Apogee,8905,7912,4.71943e-01,-6.98482e-04,1.58969e-06,-1.47239e-07,0.00000e+00
field,LCO,GFA,9743,8751,5.16480e-01,-9.50007e-04,3.34034e-06,-2.93032e-07,0.00000e+00
