,site,holeID,Sextant,CAN,Device,deviceID,ofaID,Row,Column,apogeeST,bossST,metST,BOSSFiber,APOGEETrib,MTPFiber,LongLinkMTP,Comments,positionerID,APOGEEFiber
0,LCO,R+3C6,1,1,Positioner,P0553,142,R+3,C6,10A,10A,10A,40,,,,,553,
1,LCO,R+3C5,1,1,Positioner,P0602,167,R+3,C5,10B,10B,10B,41,C201650004,D6,1,slightly higher FRD (green spare),602,24
2,LCO,R+4C5,1,1,Positioner,P1021,10792,R+4,C5,10C,10C,10C,42,C201650004,E1,1,,1021,25
3,LCO,R+5C5,1,1,Positioner,P0881,247,R+5,C5,10D,10D,10D,43,C201650004,E2,1,,881,27
4,LCO,R+3C7,1,1,Positioner,P1315,11242,R+3,C7,10E,10E,10E,44,C201650004,E3,1,,1315,26
5,LCO,R+2C5,1,1,Positioner,P0224,10628,R+2,C5,11A,11A,11A,34,C201650004,D5,1,,224,23
6,LCO,R+2C4,1,1,Positioner,P1278,10896,R+2,C4,11B,11B,11B,35,,,,,1278,
7,LCO,R+4C4,1,1,Positioner,P0656,194,R+4,C4,11C,11C,11C,37,,,,,656,
8,LCO,R+5C4,1,1,Positioner,P0051,10744,R+5,C4,11D,11D,11D,38,,,,,51,
9,LCO,R+6C4,1,1,Positioner,P1259,10755,R+6,C4,11E,11E,11E,39,,,,,1259,
10,LCO,R+1C10,1,1,Positioner,P0391,415,R+1,C10,12A,12A,12A,30,,,,,391,
11,LCO,R+4C6,1,1,Fiducial,FTO-201477,201477,R+4,C6,19AA,19AA,19AA,,,,,,0,
12,LCO,R+3C4,1,1,Fiducial,FTO-201164,201164,R+3,C4,19BA,19BA,19BA,,,,,,0,
13,LCO,R+7C4,1,1,Fiducial,FTO-201166,201166,R+7,C4,19CA,19CA,19CA,,,,,,0,
14,LCO,R+6C5,1,1,Positioner,P0530,10635,R+6,C5,8A,8A,8A,50,C201650004,E6,1,,530,30
15,LCO,R+5C6,1,1,Positioner,P0163,11149,R+5,C6,8B,8B,8B,51,,,,,163,
16,LCO,R+4C7,1,1,Positioner,P0977,10923,R+4,C7,8C,8C,8C,52,C11141009,A1,2,,977,31
17,LCO,R+3C8,1,1,Positioner,P0998,10749,R+3,C8,8D,8D,8D,53,,,,,998,
18,LCO,R+2C9,1,1,Positioner,P1273,10875,R+2,C9,8E,8E,8E,54,C11141009,A2,2,,1273,32
19,LCO,R+2C8,1,1,Positioner,P0701,296,R+2,C8,9A,9A,9A,45,,,,,701,
20,LCO,R+1C9,1,1,Positioner,P1188,11023,R+1,C9,9B,9B,9B,46,C201650004,E4,1,,1188,28
21,LCO,R+1C8,1,1,Positioner,P0745,325,R+1,C8,9C,9C,9C,47,,,,,745,
22,LCO,R+2C7,1,1,Positioner,P0718,10980,R+2,C7,9D,9D,9D,48,C201650004,E5,1,,718,29
23,LCO,R+2C6,1,1,Positioner,P0939,336,R+2,C6,9E,9E,9E,49,,,,,939,
24,LCO,R+1C11,1,2,Positioner,P1055,10554,R+1,C11,12B,12B,12B,31,C201650004,D3,1,,1055,21
25,LCO,R+3C9,1,2,Positioner,P0713,425,R+3,C9,12D,12D,12D,32,C201650004,D4,1,broken BOSS tributary fiber,713,22
26,LCO,R+4C8,1,2,Positioner,P0952,107,R+4,C8,12E,12E,12E,33,,,,,952,
27,LCO,R+8C3,1,2,Positioner,P0874,11394,R+8,C3,13A,13A,13A,25,C201650004,C4,1,,874,16
28,LCO,R+7C3,1,2,Positioner,P0499,185,R+7,C3,13B,13B,13B,27,C201650004,C5,1,,499,17
29,LCO,R+6C3,1,2,Positioner,P0121,11198,R+6,C3,13C,13C,13C,26,C201650004,C6,1,,121,18
30,LCO,R+5C3,1,2,Positioner,P0253,10816,R+5,C3,13D,13D,13D,28,C201650004,D1,1,,253,19
31,LCO,R+4C3,1,2,Positioner,P1322,11251,R+4,C3,13E,13E,13E,29,C201650004,D2,1,,1322,20
32,LCO,R+1C6,1,2,Positioner,P420,503,R+1,C6,14A,14A,14A,20,,,,,420,
33,LCO,R+1C7,1,2,Positioner,P0933,10793,R+1,C7,14B,14B,14B,21,C201650004,C2,1,,933,14
34,LCO,R+3C3,1,2,Positioner,P0767,10843,R+3,C3,6A,6A,6A,60,C11141009,A6,2,,767,36
35,LCO,R+2C3,1,2,Positioner,P1389,11091,R+2,C3,6B,6B,6B,61,C11141009,B1,2,,1389,37
36,LCO,R+1C3,1,2,Positioner,P1220,253,R+1,C3,6C,6C,6C,62,C11141009,B2,2,,1220,38
37,LCO,R+1C4,1,2,Positioner,P0564,11587,R+1,C4,6D,6D,6D,63,,,,,564,
38,LCO,R+1C5,1,2,Positioner,P1293,441,R+1,C5,6E,6E,6E,65,C11141009,B3,2,,1293,39
39,LCO,R+5C7,1,2,Positioner,P0465,52,R+5,C7,7A,7A,7A,55,C11141009,A3,2,,465,33
40,LCO,R+6C6,1,2,Positioner,P0526,98,R+6,C6,7B,7B,7B,56,,,,,526,
