,site,holeID,id,xWok,yWok,zWok,col,row,xyVar
0,LCO,R+12C8,F201062,-0.31100671437679567,233.02089864649668,143.1,8.0,12.0,6.142462189185473e-05
1,LCO,R+10C14,F201410,112.16052725276117,194.1930054532828,143.1,14.0,10.0,2.521047608165109e-05
2,LCO,R+10C11,F201478,45.14239603764615,194.19692042070983,143.1,11.0,10.0,3.227906074025651e-05
3,LCO,R+10C7,F201476,-44.65015730899438,193.99004581116154,143.1,7.0,10.0,7.523861430892814e-05
4,LCO,R+10C4,F201063,-112.3654983880586,194.1323379067109,143.1,4.0,10.0,2.292248940203803e-05
5,LCO,R+8C10,F201484,-0.32052867868612883,155.1176294212447,143.1,10.0,8.0,8.449099270153297e-05
6,LCO,R+7C17,F201409,145.27259124792147,136.23920180780985,143.1,17.0,7.0,3.908283476619848e-05
7,LCO,R+7C4,F201477,-145.72048794984033,135.8538575873079,143.1,4.0,7.0,2.55643468299874e-05
8,LCO,R+6C2,F201073,-201.61415928987128,116.48465243468705,143.1,2.0,6.0,2.904546146227149e-05
9,LCO,R+6C8,F201074,-67.22720931176704,116.51104934417933,143.1,8.0,6.0,1.5674010434131667e-05
10,LCO,R+6C14,F201715,66.83867479751012,116.40302167462086,143.1,14.0,6.0,3.5608566740094926e-05
11,LCO,R+6C20,F201172,201.55322600892436,116.6017282098756,143.1,20.0,6.0,7.21522632126197e-05
12,LCO,R+4C18,F201150,134.84488936694007,77.71551549332136,143.1,18.0,4.0,2.9787168311409712e-05
13,LCO,R+4C6,F201166,-134.321594393749,77.5127892333011,143.1,6.0,4.0,1.0157044559236776e-05
14,LCO,R+3C4,F201164,-190.55097875003645,58.27140619875968,143.1,4.0,3.0,1.5154499039544893e-05
15,LCO,R+3C21,F201528,191.01199235294544,58.30378550819202,143.1,21.0,3.0,7.446014842745952e-05
16,LCO,R+2C14,F201078,22.160133826585973,39.04177076698547,143.1,14.0,2.0,3.47136807431517e-05
17,LCO,R+2C12,F201076,-22.681531389090836,38.98512486477768,143.1,12.0,2.0,4.512790411346251e-05
18,LCO,R0C4,F201754,-224.13582857546353,0.16470565389408318,143.1,4.0,0.0,1.8716169005801506e-05
19,LCO,R0C8,F201153,-133.9479401624606,-0.016212317075345088,143.1,8.0,0.0,1.5728242113469128e-05
20,LCO,R0C12,F201417,-44.55272222230741,-0.11780659810013765,143.1,12.0,0.0,1.967306835211051e-05
21,LCO,R0C16,F201413,45.4119187256771,0.27363592156759914,143.1,16.0,0.0,3.7613682720360525e-05
22,LCO,R0C20,F201774,134.3438915464839,0.03453222652610839,143.1,20.0,0.0,3.282320576974114e-05
23,LCO,R0C24,F201170,224.41161641624936,0.10360549509455728,143.1,24.0,0.0,5.77438320234325e-05
24,LCO,R-2C14,F201526,22.53570048747055,-38.92673262825539,143.1,14.0,-2.0,1.8485126617454314e-05
25,LCO,R-2C12,F201523,-21.95195548687967,-38.58841685123254,143.1,12.0,-2.0,1.5775730947210095e-05
26,LCO,R-3C4,F201701,-190.56328965967032,-58.029438826582606,143.1,4.0,-3.0,4.916644914876212e-05
27,LCO,R-3C21,F201146,190.9382812597219,-58.3807506930469,143.1,21.0,-3.0,3.314926524191123e-05
28,LCO,R-4C18,F201704,134.57182198118443,-77.74885371580481,143.1,18.0,-4.0,4.915298749714896e-05
29,LCO,R-4C6,F201746,-134.62075678422855,-77.72297530212182,143.1,6.0,-4.0,9.154604293637788e-05
30,LCO,R-6C2,F201708,-201.58204701740178,-116.3277199805574,143.1,2.0,-6.0,5.310626162358601e-05
31,LCO,R-6C8,F201745,-66.84297426348076,-116.56294293436801,143.1,8.0,-6.0,1.8547404621380587e-05
32,LCO,R-6C14,F201747,67.28280834146636,-116.77997024741846,143.1,14.0,-6.0,3.545954226546401e-05
33,LCO,R-6C20,F201703,202.30641895323225,-116.6536058272696,143.1,20.0,-6.0,3.949000751716074e-05
34,LCO,R-7C17,F201779,145.50815967363445,-136.03957116246593,143.1,17.0,-7.0,3.167781747998234e-05
35,LCO,R-7C4,F201406,-145.21937119703475,-135.8714750310422,143.1,4.0,-7.0,1.943895944481542e-05
36,LCO,R-8C10,F201776,-0.21615221280774227,-155.1838327316336,143.1,10.0,-8.0,4.175579136718114e-05
