,site,wokID,holeID,holeType,hexRow,hexCol,xWok,yWok,zWok,ix,iy,iz,jx,jy,jz,kx,ky,kz
0,LCO,flatNominal,R-13C1,ApogeeBoss,-13.0,0.0,-145.6,-252.1866,0,0,-1,0,1,0,0,0,0,1
1,LCO,flatNominal,R-13C2,ApogeeBoss,-13.0,1.0,-123.2,-252.1866,0,0,-1,0,1,0,0,0,0,1
2,LCO,flatNominal,R-13C3,ApogeeBoss,-13.0,2.0,-100.8,-252.1866,0,0,-1,0,1,0,0,0,0,1
3,LCO,flatNominal,R-13C4,ApogeeBoss,-13.0,3.0,-78.4,-252.1866,0,0,-1,0,1,0,0,0,0,1
4,LCO,flatNominal,R-13C5,ApogeeBoss,-13.0,4.0,-56.0,-252.1866,0,0,-1,0,1,0,0,0,0,1
5,LCO,flatNominal,R-13C6,ApogeeBoss,-13.0,5.0,-33.6,-252.1866,0,0,-1,0,1,0,0,0,0,1
6,LCO,flatNominal,R-13C7,ApogeeBoss,-13.0,6.0,-11.2,-252.1866,0,0,-1,0,1,0,0,0,0,1
7,LCO,flatNominal,R-13C8,ApogeeBoss,-13.0,7.0,11.2,-252.1866,0,0,-1,0,1,0,0,0,0,1
8,LCO,flatNominal,R-13C9,ApogeeBoss,-13.0,8.0,33.6,-252.1866,0,0,-1,0,1,0,0,0,0,1
9,LCO,flatNominal,R-13C10,ApogeeBoss,-13.0,9.0,56.0,-252.1866,0,0,-1,0,1,0,0,0,0,1
10,LCO,flatNominal,R-13C11,ApogeeBoss,-13.0,10.0,78.4,-252.1866,0,0,-1,0,1,0,0,0,0,1
11,LCO,flatNominal,R-13C12,ApogeeBoss,-13.0,11.0,100.8,-252.1866,0,0,-1,0,1,0,0,0,0,1
12,LCO,flatNominal,R-13C13,ApogeeBoss,-13.0,12.0,123.2,-252.1866,0,0,-1,0,1,0,0,0,0,1
13,LCO,flatNominal,R-13C14,Boss,-13.0,13.0,145.6,-252.1866,0,0,-1,0,1,0,0,0,0,1
14,LCO,flatNominal,R-12C1,ApogeeBoss,-12.0,0.0,-156.8,-232.7876,0,0,-1,0,1,0,0,0,0,1
15,LCO,flatNominal,R-12C2,ApogeeBoss,-12.0,1.0,-134.4,-232.7876,0,0,-1,0,1,0,0,0,0,1
16,LCO,flatNominal,R-12C3,Boss,-12.0,2.0,-112.0,-232.7876,0,0,-1,0,1,0,0,0,0,1
17,LCO,flatNominal,R-12C4,Boss,-12.0,3.0,-89.6,-232.7876,0,0,-1,0,1,0,0,0,0,1
18,LCO,flatNominal,R-12C5,Boss,-12.0,4.0,-67.2,-232.7876,0,0,-1,0,1,0,0,0,0,1
19,LCO,flatNominal,R-12C6,Boss,-12.0,5.0,-44.8,-232.7876,0,0,-1,0,1,0,0,0,0,1
20,LCO,flatNominal,R-12C7,Boss,-12.0,6.0,-22.4,-232.7876,0,0,-1,0,1,0,0,0,0,1
21,LCO,flatNominal,R-12C8,Fiducial,-12.0,7.0,0.0,-232.7876,0,0,-1,0,1,0,0,0,0,1
22,LCO,flatNominal,R-12C9,Boss,-12.0,8.0,22.4,-232.7876,0,0,-1,0,1,0,0,0,0,1
23,LCO,flatNominal,R-12C10,Boss,-12.0,9.0,44.8,-232.7876,0,0,-1,0,1,0,0,0,0,1
24,LCO,flatNominal,R-12C11,Boss,-12.0,10.0,67.2,-232.7876,0,0,-1,0,1,0,0,0,0,1
25,LCO,flatNominal,R-12C12,Boss,-12.0,11.0,89.6,-232.7876,0,0,-1,0,1,0,0,0,0,1
26,LCO,flatNominal,R-12C13,Boss,-12.0,12.0,112.0,-232.7876,0,0,-1,0,1,0,0,0,0,1
27,LCO,flatNominal,R-12C14,ApogeeBoss,-12.0,13.0,134.4,-232.7876,0,0,-1,0,1,0,0,0,0,1
28,LCO,flatNominal,R-12C15,ApogeeBoss,-12.0,14.0,156.8,-232.7876,0,0,-1,0,1,0,0,0,0,1
29,LCO,flatNominal,R-11C1,ApogeeBoss,-11.0,0.0,-168.0,-213.3887,0,0,-1,0,1,0,0,0,0,1
30,LCO,flatNominal,R-11C2,Boss,-11.0,1.0,-145.6,-213.3887,0,0,-1,0,1,0,0,0,0,1
31,LCO,flatNominal,R-11C3,ApogeeBoss,-11.0,2.0,-123.2,-213.3887,0,0,-1,0,1,0,0,0,0,1
32,LCO,flatNominal,R-11C4,ApogeeBoss,-11.0,3.0,-100.8,-213.3887,0,0,-1,0,1,0,0,0,0,1
33,LCO,flatNominal,R-11C5,ApogeeBoss,-11.0,4.0,-78.4,-213.3887,0,0,-1,0,1,0,0,0,0,1
34,LCO,flatNominal,R-11C6,ApogeeBoss,-11.0,5.0,-56.0,-213.3887,0,0,-1,0,1,0,0,0,0,1
35,LCO,flatNominal,R-11C7,ApogeeBoss,-11.0,6.0,-33.6,-213.3887,0,0,-1,0,1,0,0,0,0,1
36,LCO,flatNominal,R-11C8,ApogeeBoss,-11.0,7.0,-11.2,-213.3887,0,0,-1,0,1,0,0,0,0,1
37,LCO,flatNominal,R-11C9,ApogeeBoss,-11.0,8.0,11.2,-213.3887,0,0,-1,0,1,0,0,0,0,1
38,LCO,flatNominal,R-11C10,ApogeeBoss,-11.0,9.0,33.6,-213.3887,0,0,-1,0,1,0,0,0,0,1
39,LCO,flatNominal,R-11C11,ApogeeBoss,-11.0,10.0,56.0,-213.3887,0,0,-1,0,1,0,0,0,0,1
40,LCO,flatNominal,R-11C12,ApogeeBoss,-11.0,11.0,78.4,-213.3887,0,0,-1,0,1,0,0,0,0,1
41,LCO,flatNominal,R-11C13,ApogeeBoss,-11.0,12.0,100.8,-213.3887,0,0,-1,0,1,0,0,0,0,1
42,LCO,flatNominal,R-11C14,ApogeeBoss,-11.0,13.0,123.2,-213.3887,0,0,-1,0,1,0,0,0,0,1
43,LCO,flatNominal,R-11C15,Boss,-11.0,14.0,145.6,-213.3887,0,0,-1,0,1,0,0,0,0,1
44,LCO,flatNominal,R-11C16,ApogeeBoss,-11.0,15.0,168.0,-213.3887,0,0,-1,0,1,0,0,0,0,1
45,LCO,flatNominal,R-10C1,ApogeeBoss,-10.0,0.0,-179.2,-193.9897,0,0,-1,0,1,0,0,0,0,1
46,LCO,flatNominal,R-10C2,Boss,-10.0,1.0,-156.8,-193.9897,0,0,-1,0,1,0,0,0,0,1
47,LCO,flatNominal,R-10C3,ApogeeBoss,-10.0,2.0,-134.4,-193.9897,0,0,-1,0,1,0,0,0,0,1
48,LCO,flatNominal,R-10C4,Fiducial,-10.0,3.0,-112.0,-193.9897,0,0,-1,0,1,0,0,0,0,1
49,LCO,flatNominal,R-10C5,Boss,-10.0,4.0,-89.6,-193.9897,0,0,-1,0,1,0,0,0,0,1
50,LCO,flatNominal,R-10C6,Boss,-10.0,5.0,-67.2,-193.9897,0,0,-1,0,1,0,0,0,0,1
51,LCO,flatNominal,R-10C7,Fiducial,-10.0,6.0,-44.8,-193.9897,0,0,-1,0,1,0,0,0,0,1
52,LCO,flatNominal,R-10C8,Boss,-10.0,7.0,-22.4,-193.9897,0,0,-1,0,1,0,0,0,0,1
53,LCO,flatNominal,R-10C9,Boss,-10.0,8.0,0.0,-193.9897,0,0,-1,0,1,0,0,0,0,1
54,LCO,flatNominal,R-10C10,Boss,-10.0,9.0,22.4,-193.9897,0,0,-1,0,1,0,0,0,0,1
55,LCO,flatNominal,R-10C11,Fiducial,-10.0,10.0,44.8,-193.9897,0,0,-1,0,1,0,0,0,0,1
