positionerID,robotailID,wokID,holeID,apSpecID,bossSpecID,alphaArmLen,metX,metY,apX,apY,bossX,bossY,alphaOffset,betaOffset,dx,dy
734,FTO0,uwMiniWok,R+2C13,0,0,7.4,14.321410979658488,-0.0307975050903958,14.937696240015354,0.3894668134422414,14.996019685174936,-0.3547078873393752,0,0,0,0
428,FTO1,uwMiniWok,R+1C12,1,1,7.4,14.287609312030858,-0.0496200228206841,14.921240722530149,0.3470779824277845,14.951557730354342,-0.3941384521793079,0,0,0,0
561,FTO2,uwMiniWok,R+1C13,2,2,7.4,14.34151887778606,-0.0068367176737747,14.997116741704716,0.3436493484759292,14.974189829059918,-0.3982283084541573,0,0,0,0
594,FTO3,uwMiniWok,R+1C14,3,3,7.4,14.3278341801556,0.0058525698072101,14.97687675384955,0.369594228893418,14.974864155913648,-0.3730252410176884,0,0,0,0
649,FTO4,uwMiniWok,R+1C15,4,4,7.4,14.289273685128052,0.006378030710121,14.926763965433118,0.3901430695143158,14.942746082946496,-0.3549387879949758,0,0,0,0
497,FTO5,uwMiniWok,R0C13,5,5,7.4,14.27596502249312,-0.0368659153928552,14.932406487581751,0.3372375299716822,14.919415057814192,-0.4201097567030303,0,0,0,0
484,FTO6,uwMiniWok,R0C14,6,6,7.4,14.291637524695194,-0.0447383172538259,14.929871338702895,0.3412738265936958,14.94795581991738,-0.3988466361372784,0,0,0,0
704,FTO7,uwMiniWok,R0C15,7,7,7.4,14.371279813000903,-0.0314733752378582,14.989020513944572,0.3874797894418535,15.038010797550394,-0.3586789848960705,0,0,0,0
524,FTO8,uwMiniWok,R-1C12,8,8,7.4,14.286640863561136,-0.0057161359710171,14.93361053288048,0.3698090737190556,14.941426740112384,-0.3707968339217344,0,0,0,0
645,FTO9,uwMiniWok,R-1C13,9,9,7.4,14.283493879784237,-0.0195800307426812,14.882274010918673,0.4189499996448175,14.962749786776689,-0.3231599856927747,0,0,0,0
457,FTO10,uwMiniWok,R-1C14,10,10,7.4,14.316292620951591,-0.0458528105257845,14.972706985743809,0.3138389192507113,14.961285847072698,-0.4261943482407183,0,0,0,0
705,FTO11,uwMiniWok,R-1C15,11,11,7.4,14.310194908568088,-0.001031108894555,14.958156326140646,0.3725337035645126,14.96617283565436,-0.3766934295079823,0,0,0,0
566,FTO12,uwMiniWok,R-2C13,12,12,7.4,14.28171888751748,-0.0077809741692609,14.908560391454344,0.3907850249094222,14.946716029747432,-0.3513249524316648,0,0,0,0
