positionerID,robotailID,wokID,holeID,apSpecID,bossSpecID,alphaArmLen,metX,metY,apX,apY,bossX,bossY,alphaOffset,betaOffset,dx,dy
734,FTO0,uwMiniWok,R+2C13,0,0,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
428,FTO1,uwMiniWok,R+1C12,1,1,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
561,FTO2,uwMiniWok,R+1C13,2,2,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
594,FTO3,uwMiniWok,R+1C14,3,3,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
649,FTO4,uwMiniWok,R+1C15,4,4,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
497,FTO5,uwMiniWok,R0C13,5,5,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
484,FTO6,uwMiniWok,R0C14,6,6,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
704,FTO7,uwMiniWok,R0C15,7,7,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
524,FTO8,uwMiniWok,R-1C12,8,8,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
645,FTO9,uwMiniWok,R-1C13,9,9,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
457,FTO10,uwMiniWok,R-1C14,10,10,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
705,FTO11,uwMiniWok,R-1C15,11,11,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
566,FTO12,uwMiniWok,R-2C13,12,12,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
