# This table collects all the attributes for positions (holes) around the wok.  The file is generated
# by github.com/csayres/sdssconv/python/sdssconv/wokCoords.py.  Solid models define 3D position and orientation
# of holes, Ricks fps_filledHex is used to determine the type of element (positioner, fiducial) in each hole.
# canbus, sextant, holeID, etc info are described on wiki (pending!)
# ---------------------------------------------------------------------------------------------------------------------------
# column descriptions
# ---------------------------------------------------------------------------------------------------------------------------
# 0th: unique index
# wokType: "LCO" or "APO"
# holeType: "ApogeeBoss", "Boss", "GFA", "Empty", or "Fiducial"
# holeID: unique ID string for hole (see wiki)
# hexRow: row index of hole, integer in range [-13, 13], only defined for hex pattern holes
# hexCol: column index of hole, integer in range [1, 27], only defined for hex pattern holes
# x: x position of hole center on wok surface in wok coordinates (mm)
# y: y position of hole center on wok surface in wok coordinates (mm)
# z: z position of hole center on wok surface in wok coordinates (mm)
# theta: azimuthal angle of hole, in wok cylindrical coordinates (deg)
# r: radial location of hole, in wok cynlinrical coordinates (mm)
# [ix, iy, iz]: unit vector in wok coordinates showing x direction in tangent coordinates (xy tangent to wok surface)
# [jx, jy, jz]: unit vector in wok coordinates showing y direction in tangent coordinates (xy tangent to wok surface)
# [kx, ky, kz]: unit vector in wok coordinates showing z direction in tangent coordinates (aligned with hole axis)
# sextant: integers in range [1,6], which sextant this position belongs to, only defined for hex pattern holes
# canbus: integers in range [1,4], which canbus this position belongs to, only defined for hex pattern holes
# canorder: integers describing the order of this position along a given canbus, starting near wok origin for each sextant.
# ---------------------------------------------------------------------------------------------------------------------------
,wokType,holeType,holeID,hexRow,hexCol,x,y,z,r,theta,ix,iy,iz,jx,jy,jz,kx,ky,kz,sextant,canbus,canorder
0,LCO,ApogeeBoss,R-13C1,-13.0,1.0,-148.022536607116,-256.38323185278,5.0057852848026,296.0456601926151,240.00006558813322,-4.070058241250158e-05,-0.9995694949671099,0.029339786547612785,0.9998565662664074,-0.0005375906987430785,-0.016928020858626144,0.01693650605680074,0.029334889252177414,0.999426144862716,5.0,1.0,13.0
1,APO,ApogeeBoss,R-13C1,-13.0,1.0,-147.873835485164,-256.12430864698,4.6818818669262,295.7470755577928,239.99993340223332,6.64744673199806e-06,-0.9996226137408866,0.027470530640117105,0.9998742510601972,-0.0004289886467896174,-0.01585238264584779,0.01585818472022894,0.027467181627882507,0.9994969094053268,5.0,1.0,13.0
2,LCO,ApogeeBoss,R-13C2,-13.0,2.0,-125.247769462558,-256.37770138377994,4.650079535102999,285.335818855917,243.9631805767016,4.465338090769507e-06,-0.999572711623,0.029230021531016677,0.9998980608593651,-0.0004128900134571412,-0.014272260210577517,0.014278230623659311,0.029227105578208224,0.9994708141960814,5.0,1.0,14.0
3,APO,ApogeeBoss,R-13C2,-13.0,2.0,-125.12127173181,-256.1187643553,4.3494642428372,285.0476347817521,243.9631805148448,4.466208196697396e-06,-0.9996254154004868,0.02736839172214852,0.9999106304751035,-0.00036142479543568737,-0.013364147372650752,0.013369032984238916,0.027366005509047674,0.9995360777378399,5.0,1.0,14.0
4,LCO,ApogeeBoss,R-13C3,-13.0,3.0,-102.481721346028,-256.39322064662,4.3543553233268,276.11589379025486,248.21314959307006,9.325220264065054e-06,-0.9995713076250383,0.029277993199868856,0.9999315317967273,-0.00033328402151924444,-0.011697035539479704,0.011701778996849934,0.02927609766571187,0.9995028656656151,5.0,1.0,15.0
5,APO,ApogeeBoss,R-13C3,-13.0,3.0,-102.37761243283398,-256.13275573194,4.0728272828788,275.8353930993722,248.21314953796173,9.321809513799871e-06,-0.9996241895416966,0.0274131281726495,0.9999399754306066,-0.0002910348883157889,-0.01095266335334861,0.010956525404610258,0.027411584810076658,0.9995641848171923,5.0,1.0,15.0
6,LCO,ApogeeBoss,R-13C4,-13.0,4.0,-79.712419881674,-256.40749722208,4.117777440044599,268.5123358713399,252.73048240167014,7.140915494685224e-06,-0.99956981441318,0.02932892877362148,0.9999584351972431,-0.00026026738601745385,-0.009113733525229116,0.009117446292051048,0.02932777480288288,0.9995282656324548,5.0,1.0,16.0
7,APO,ApogeeBoss,R-13C4,-13.0,4.0,-79.63104112037799,-256.14572894196,3.8513326026026,268.23820974112425,252.7304823550973,7.140218952866508e-06,-0.9996228791657091,0.027460870297119272,0.9999635610971085,-0.00022728984342543733,-0.00853374579631454,0.008536769119890366,0.02745993058594668,0.999586452381788,5.0,1.0,16.0
8,LCO,ApogeeBoss,R-13C5,-13.0,5.0,-56.937821462204,-256.40932852144,3.940033853622399,262.6550194945407,257.4801422765799,4.956921199939025e-06,-0.9995705047060042,0.02930539365395364,0.9999788269108377,-0.00018574599447646493,-0.006504708175685807,0.00650735779362331,0.02930480541156672,0.9995493397898556,5.0,1.0,17.0
9,APO,ApogeeBoss,R-13C5,-13.0,5.0,-56.879598028994,-256.14712890868,3.6849802231922,262.38643318605455,257.48014224056055,4.95890256395934e-06,-0.9996234837922432,0.027438852499115676,0.9999814380869292,-0.00016222530083838816,-0.006090744170367239,0.006092902182571124,0.027438373384927703,0.999604928063574,5.0,1.0,17.0
